(100605727, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, -0.38, 0.0, 0.11, 58.54, 58.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(100705685, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.55, 0.0, 0.0], [0.0, -0.38, 0.0, 0.12, 58.56, 58.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(100805810, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, -0.38, 0.0, 0.12, 58.57, 58.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(100905728, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, -0.38, 0.0, 0.12, 58.59, 58.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101006039, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, -0.38, 0.0, 0.12, 58.6, 58.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101105755, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [0.0, -0.38, 0.0, 0.13, 58.61, 58.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101205698, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, -0.38, 0.0, 0.13, 58.62, 58.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101305758, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, -0.38, 0.0, 0.14, 58.64, 58.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101406055, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.56, 0.0, 0.0], [0.0, -0.38, 0.0, 0.15, 58.65, 58.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101506017, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.56, 0.0, 0.0], [0.0, -0.38, 0.0, 0.15, 58.66, 58.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101605766, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, -0.38, 0.0, 0.16, 58.68, 58.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101705759, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, -0.38, 0.0, 0.16, 58.69, 58.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101805871, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, -0.38, 0.0, 0.16, 58.71, 58.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(101906529, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.56, 0.0, 0.0], [0.0, -0.38, 0.0, 0.16, 58.72, 58.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(102006407, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.56, 0.0, 0.0], [0.0, -0.38, 0.0, 0.17, 58.74, 58.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
