(38387075, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.09, -0.59, 0.14, 144.9, 153.17, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(38495079, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.09, -0.59, 0.14, 144.9, 153.33, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(38597118, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.3, -0.09, -0.59, 0.14, 144.9, 153.48, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(38697399, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.31, -0.09, -0.59, 0.14, 144.9, 153.63, 0.0, 1.0], [0.6, 25.0, 0.0, 0.0])
(38797344, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.32, -0.09, -0.59, 0.13, 144.9, 153.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(38897969, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.09, -0.59, 0.13, 144.9, 153.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(38999837, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.3, -0.09, -0.59, 0.13, 144.9, 154.07, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39100087, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.3, -0.09, -0.59, 0.13, 144.9, 154.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39199616, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.31, -0.09, -0.59, 0.12, 144.9, 154.36, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39299660, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.3, -0.09, -0.59, 0.12, 144.9, 154.51, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39399775, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.09, -0.59, 0.12, 144.9, 154.66, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39499674, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.32, -0.09, -0.59, 0.12, 144.9, 154.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39599658, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.32, -0.08, -0.59, 0.12, 144.9, 154.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39699673, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.08, -0.59, 0.12, 144.9, 155.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39801030, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.08, -0.59, 0.12, 144.9, 155.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39899677, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.08, -0.59, 0.11, 144.9, 155.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
